shujuvalue,dizhivalue,ipvalue,wenjianvlaue,username,password,fegefuvalue,status
@,,,,,,,0
,172.168.30.13,22,,,,,1
,172.168.30.13,22,/root/wenlx/template_目录.csv,,,,2
,172.168.30.13,22,/root/wenlx/template_目录.csv,root,,,3
,172.168.30.13.13,2222223,/root/wenlx/template_目录.csv,root,admin,",",4
123456789789654133654788522,172.168.30.7,22,/root/wenlx/template_目录.csv,root,admin,",",5
csvcsv,172.168.30.13,22,/root/wenlx/template_目录.csv,root,admi,",",6
csvcsv,172.168.30.13,22,555,root,admin,",",7
csvcsv,172.168.30.13,22,/root/wenlx/template_目录.csv,root,admin,",",8
csvcsv,172.168.30.13,22,/root/wenlx/template_目录.csv,root,admin,",",9
